,id,year,sibid1,south14,momwork,dadwork,momhgc,dadhgc,numsib,religkid,relignow,race,sex,afqtrev,height,health,weight,drnkev,drnkmo,drnk6m,days,perday,gtint,wgsal,famsz,faminc,povst,empst,region,marst,higrad,age,hrswrk,wkswrk,wksue,wksolf,urbrur,numjob,numkid,wdad14,wmom14,hvsib,urate,logwksue,logdays,logwgsal,sqdays,cubdays,age21,wkdrnk,logage,sqrdays,avgincome
0,2213,94,2211.0,1.0,0,0,12,12,5.0,,2.0,2,1,5,73.0,0.0,175.0,1,0,0,0,0,0,14000.0,4,14000.0,1.0,3,3,1.0,11,29,1935,41,11,0,0.0,9.0,0,1.0,1.0,1.0,4.5,2.3978953,,9.546813,0.0,0.0,1.0,0.0,3.3672957,0.0,13410.907
1,3749,94,3750.0,0.0,1,0,12,12,3.0,7.0,7.0,3,2,4,64.0,0.0,140.0,1,0,0,0,0,0,0.0,4,,,3,2,1.0,12,35,1212,52,0,0,1.0,6.0,0,0.0,1.0,1.0,7.5,,,,0.0,0.0,1.0,0.0,3.5553482,0.0,13410.907
2,12305,89,12304.0,1.0,0,0,9,0,4.0,2.0,2.0,2,1,10,75.0,0.0,210.0,1,0,0,0,0,0,20000.0,7,40000.0,0.0,1,3,2.0,11,28,2455,52,0,0,1.0,5.0,5,0.0,1.0,1.0,4.5,,,9.903487,0.0,0.0,1.0,0.0,3.3322046,0.0,13410.907
3,4520,94,4521.0,0.0,1,0,15,16,5.0,2.0,2.0,3,1,58,72.0,0.0,350.0,1,0,0,0,0,0,35000.0,5,35000.0,0.0,1,4,2.0,12,36,3984,52,0,0,1.0,12.0,3,0.0,1.0,1.0,7.5,,,10.463103,0.0,0.0,1.0,0.0,3.583519,0.0,13410.907
4,676,89,673.0,0.0,0,1,9,12,6.0,2.0,7.0,2,1,4,72.0,0.0,183.0,1,0,0,0,0,0,9000.0,5,19700.0,0.0,1,2,2.0,12,25,2080,52,0,0,1.0,6.0,3,1.0,1.0,1.0,4.5,,,9.1049795,0.0,0.0,1.0,0.0,3.218876,0.0,13410.907
5,12303,94,,1.0,0,1,7,7,4.0,2.0,2.0,2,2,19,62.0,0.0,250.0,1,0,0,0,0,0,13000.0,4,48000.0,0.0,1,3,2.0,12,32,2035,52,0,0,0.0,1.0,2,1.0,1.0,0.0,4.5,,,9.472705,0.0,0.0,1.0,0.0,3.465736,0.0,13410.907
6,6227,94,6226.0,1.0,1,1,12,12,4.0,2.0,2.0,2,2,32,62.0,0.0,155.0,1,0,0,0,0,0,27000.0,7,27000.0,0.0,1,3,3.0,13,33,2228,52,0,0,1.0,12.0,2,1.0,1.0,1.0,4.5,,,10.203592,0.0,0.0,1.0,0.0,3.4965076,0.0,13410.907
7,7448,89,,1.0,0,0,9,11,2.0,9.0,9.0,2,2,4,69.0,0.0,110.0,0,0,0,0,0,0,0.0,5,86832.0,0.0,3,3,1.0,12,25,0,0,0,52,1.0,3.0,3,0.0,1.0,0.0,4.5,,,,0.0,0.0,1.0,0.0,3.218876,0.0,13410.907
8,8206,89,,0.0,0,1,0,12,5.0,1.0,1.0,1,1,39,62.0,0.0,187.0,0,0,0,0,0,0,16500.0,8,18540.0,1.0,1,4,2.0,12,30,2418,52,0,0,1.0,6.0,6,0.0,1.0,0.0,4.5,,,9.711116,0.0,0.0,1.0,0.0,3.4011974,0.0,13410.907
9,4127,89,4128.0,1.0,1,0,12,12,3.0,2.0,2.0,3,1,68,63.0,0.0,125.0,1,0,0,0,0,0,17500.0,1,17505.0,0.0,1,3,1.0,13,27,2256,52,0,0,1.0,6.0,0,0.0,1.0,1.0,4.5,,,9.769957,0.0,0.0,1.0,0.0,3.295837,0.0,13410.907
10,8764,89,8765.0,0.0,0,1,11,9,10.0,2.0,2.0,3,2,28,60.0,0.0,138.0,1,0,0,0,0,0,9800.0,6,,,1,2,3.0,12,27,2080,52,0,0,1.0,1.0,0,0.0,1.0,1.0,7.5,,,9.190138,0.0,0.0,1.0,0.0,3.295837,0.0,13410.907
11,2736,89,2737.0,1.0,0,1,11,10,1.0,2.0,2.0,3,2,53,67.0,0.0,115.0,1,0,0,0,0,0,15900.0,3,28900.0,0.0,1,3,3.0,12,25,2180,52,0,0,0.0,7.0,1,1.0,1.0,1.0,4.5,,,9.674074,0.0,0.0,1.0,0.0,3.218876,0.0,13410.907
12,4580,89,4581.0,0.0,1,1,0,15,10.0,2.0,2.0,3,2,57,70.0,0.0,118.0,1,0,0,0,0,0,0.0,3,25000.0,0.0,1,4,2.0,12,30,0,0,8,44,1.0,8.0,1,1.0,1.0,1.0,4.5,2.0794415,,,0.0,0.0,1.0,0.0,3.4011974,0.0,13410.907
13,575,89,576.0,0.0,0,1,12,16,4.0,9.0,9.0,3,1,99,72.0,0.0,215.0,1,0,0,0,0,0,27000.0,6,32000.0,0.0,1,4,2.0,19,32,2080,52,0,0,1.0,7.0,4,1.0,1.0,1.0,7.5,,,10.203592,0.0,0.0,1.0,0.0,3.465736,0.0,13410.907
14,7592,89,,1.0,0,1,6,8,2.0,7.0,7.0,1,1,36,,0.0,160.0,1,0,0,0,0,0,33000.0,4,38300.0,0.0,1,3,1.0,13,25,2524,52,0,0,1.0,9.0,0,1.0,1.0,0.0,4.5,,,10.404263,0.0,0.0,1.0,0.0,3.218876,0.0,13410.907
15,8687,89,,1.0,0,1,6,7,3.0,2.0,2.0,2,1,19,67.0,0.0,170.0,1,0,0,0,0,0,22000.0,1,22000.0,0.0,1,3,3.0,16,30,3120,52,0,0,1.0,11.0,0,0.0,0.0,0.0,4.5,,,9.998797,0.0,0.0,1.0,0.0,3.4011974,0.0,13410.907
16,2744,89,2745.0,1.0,0,1,12,11,2.0,2.0,2.0,3,2,43,64.0,1.0,110.0,1,0,0,0,0,0,2100.0,3,24350.0,0.0,3,3,2.0,14,31,560,14,4,34,0.0,4.0,1,1.0,1.0,1.0,4.5,1.3862944,,7.6496925,0.0,0.0,1.0,0.0,3.4339871,0.0,13410.907
