Litter,Graffiti,High_Density,Income
1,0,0,43.02507527
1,0,0,71.33806274
1,0,0,70.28261195
1,0,0,77.95439421
1,1,1,66.31844761
1,0,0,77.39207888
1,0,0,56.14108146
1,0,0,44.10075427
1,0,0,67.97485158
1,0,0,68.46871555
1,1,1,46.78652587
0,0,0,31.63001948
1,0,0,79.42963677
1,1,1,47.94529179
1,1,0,23.0480337
1,1,1,54.96997405
1,1,1,46.81987611
1,1,1,52.47169252
1,1,1,42.7674538
1,0,0,69.40626037
1,0,0,72.91653942
1,1,1,45.37565409
1,0,0,79.39162458
1,0,0,52.6774706
1,1,1,50.40768149
1,1,1,76.27644581
1,1,0,22.84955146
1,1,1,68.74318877
0,0,0,26.43323626
1,0,0,60.71649224
1,1,1,50.83232579
0,0,0,33.29504748
1,0,0,54.04895604
1,0,0,75.07596521
1,0,1,72.78917729
0,1,1,25.94004163
1,0,1,77.2646554
0,0,0,38.55781689
0,0,0,30.89423737
1,1,1,43.73967261
1,0,0,68.10976631
0,0,0,40.44314253
1,1,1,45.72102601
1,0,0,45.64381761
1,0,1,74.1207083
1,0,1,70.15469273
0,0,0,35.91954283
1,0,0,44.73585064
1,0,0,77.13443935
1,1,1,50.73025293
1,1,1,45.1487711
1,0,0,45.71299889
1,1,1,51.51328095
1,0,0,59.84063657
1,0,0,63.71080089
1,1,1,46.83610592
0,0,0,25.49726956
1,1,1,44.48218952
1,1,0,21.32220358
0,0,0,27.64669032
0,0,0,35.39347312
1,1,1,74.85285416
0,1,1,31.25945184
1,0,0,59.34963308
0,1,1,25.83547743
0,0,0,36.44610274
1,0,0,73.08981991
0,0,0,24.2324444
1,1,1,57.16220026
1,1,1,45.80565151
1,0,0,71.58015343
0,0,0,23.85764903
1,0,0,59.7838209
1,0,0,64.11604001
1,1,1,74.86749895
0,0,0,36.89736799
1,1,1,45.63530094
0,1,1,23.38484346
0,1,1,20.01258245
1,1,1,69.56035006
1,0,0,69.14319801
1,1,1,52.64574244
1,0,1,70.5213858
1,1,1,73.36100548
1,1,1,52.86630249
1,0,0,76.98957269
1,1,1,47.79278218
1,0,0,66.98555614
1,0,0,74.88223741
1,0,0,63.77825606
1,1,1,45.09005537
0,0,0,27.14915358
1,0,0,63.26962095
1,1,1,38.19345651
0,0,0,32.14309213
1,1,1,69.35199108
1,0,0,75.14068934
0,0,0,27.88318291
1,1,1,68.43285591
1,1,1,51.92493646
1,1,1,30.4694599
0,0,0,26.16481977
1,1,1,63.75647197
1,1,1,57.338319
1,1,1,42.87591855
1,1,1,39.23397358
1,1,1,58.6216773
1,0,0,61.77803456
1,1,1,22.321541
1,1,1,62.26597655
1,1,1,52.48473871
1,1,1,41.01719158
1,0,0,66.7447986
1,1,1,30.40099279
1,0,0,37.749209
1,0,1,72.97203094
0,1,1,24.08339313
0,0,0,27.0052661
1,0,0,79.06851294
0,1,1,23.49175247
1,0,0,54.39573442
1,0,0,41.87391504
1,1,1,47.29188821
1,0,1,77.96011363
1,0,0,59.50047635
1,0,0,54.20162169
1,1,1,67.06071681
1,1,1,25.64279692
1,1,1,54.38194735
1,1,1,37.8595632
1,1,1,34.72082686
1,1,1,40.04252881
1,0,0,62.35823205
1,0,0,63.33084018
1,1,1,50.94596561
1,1,1,44.49985946
1,0,0,64.54613542
1,1,1,55.44338528
1,0,0,71.2793769
0,0,0,37.68869785
1,1,1,60.97010597
1,0,0,53.44428644
1,0,0,72.74802683
0,1,1,26.68670076
1,1,1,57.220174
1,1,1,21.84335794
0,0,0,35.29345494
1,1,1,73.68997891
0,0,0,27.2190081
1,1,1,55.72123234
0,0,0,26.1988897
1,1,1,68.90036474
1,1,1,36.89817434
1,0,0,51.06049065
1,1,1,35.29291293
1,0,0,69.34571182
1,0,0,56.28943785
1,0,0,48.03496196
1,1,1,36.42072662
1,0,1,70.05721649
1,1,1,64.82255769
1,0,1,72.74890472
1,0,1,74.63075181
1,0,1,77.36566212
1,0,0,61.12001701
1,1,1,29.80706092
1,0,0,48.48814123
0,0,0,30.95982149
0,0,0,41.82571123
1,0,0,56.41624259
1,1,1,45.43014849
1,0,0,79.23443904
1,0,0,76.50448095
1,0,0,43.35207027
1,0,0,48.7135144
1,0,0,78.69089902
1,0,0,44.19039769
0,0,0,25.35224273
1,0,1,79.36580058
1,0,0,59.62988395
1,0,0,66.14535226
1,0,0,58.97505192
1,0,0,56.32936039
1,1,1,74.53073301
1,0,0,60.03557701
1,1,1,25.52709755
1,0,0,47.57158906
1,1,1,29.28679512
0,0,0,35.3366116
0,1,0,20.63558519
1,1,1,36.68873233
1,1,1,54.49585283
1,0,0,73.7547204
1,0,0,70.33584172
1,0,0,79.7649283
0,0,0,30.48301022
1,0,1,76.1962721
0,0,0,25.71588615
0,0,0,38.08903691
1,1,1,64.38628517
